run_id,runtype,trigger_mode,run_tag,run_comment,acq_time,start_time
00513,run7_Xe,self,Calibration Run,"Co60, ano 30adc, dyn 15adc",3600.0,2026-09-04T18:15:36
00514,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc",3600.0,2026-09-04T18:26:27
00515,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc",3600.0,2026-09-04T18:30:17
00516,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc",3600.0,2026-09-04T19:30:35
00517,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-04T20:27:26
00518,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-04T21:27:45
00519,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-04T22:28:04
00520,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-04T23:28:23
00521,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-05T00:28:41
00522,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-05T01:29:00
00523,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-05T02:29:20
00524,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-05T02:50:34
00525,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-05T03:50:49
00526,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-05T04:51:07
00527,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-05T05:51:25
00528,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-05T06:51:45
00529,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-05T07:52:05
00530,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-05T08:52:24
00531,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-05T09:52:42
00532,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-05T10:52:57
00533,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-05T11:53:18
00534,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-05T12:53:38
00535,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-05T13:53:56
00536,run7_Xe,self,Calibration Run,"Co60, ano 40adc, dyn 15adc, position west",3600.0,2026-09-05T14:54:15
