run_id,runtype,trigger_mode,run_tag,run_comment,acq_time,start_time
00406,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-28T15:51:57
00407,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-28T16:19:53
00408,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-28T17:20:15
00409,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-28T18:20:37
00410,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-28T19:20:54
00411,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-28T20:21:08
00412,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-28T21:21:27
00413,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-28T22:21:47
00414,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-28T23:22:06
00415,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T00:22:25
00416,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T01:22:48
00417,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T02:23:08
00418,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T03:23:25
00419,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T04:23:44
00420,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T05:24:02
00421,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T06:24:20
00422,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T07:24:40
00423,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T08:24:56
00424,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T09:25:15
00425,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T10:25:34
00426,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T11:25:53
00427,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T12:26:12
00428,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T13:26:31
00429,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T14:26:51
00430,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T15:27:10
00431,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T16:27:29
00432,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T17:27:48
00433,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T18:28:07
00434,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T19:28:27
00435,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T20:28:46
00436,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T21:29:05
00437,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T22:29:24
00438,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-29T23:29:43
00439,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T00:30:03
00440,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T01:30:22
00441,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T02:30:41
00442,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T03:31:00
00443,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T04:31:20
00444,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T05:31:39
00445,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T06:31:58
00446,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T07:32:19
00447,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T08:32:38
00448,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T09:32:58
00449,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T10:33:15
00450,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T11:33:34
00451,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T12:33:53
00452,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T13:34:13
00453,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T14:34:32
00454,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T15:34:51
00455,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T16:35:10
00456,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T17:35:30
00457,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T18:35:49
00458,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T19:36:08
00459,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T20:36:27
00460,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T21:36:47
00461,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T22:37:06
00462,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-30T23:37:25
00463,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-31T00:37:44
00464,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-31T01:38:07
00465,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-31T02:38:26
00466,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-31T03:38:48
00467,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-31T04:39:06
00468,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-31T05:39:26
00469,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-31T06:39:44
00470,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-31T07:40:03
00471,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-31T08:40:21
00472,run7_Xe,self,TPC Run,"After liquid level adjust, ano 50adc, dyn 15adc",3600.0,2026-08-31T09:40:44
